iteration,log_likelihood
0,-5571.043506493347
1,-4282.7542585424235
2,-4101.036449834846
3,-4045.454666861103
4,-4015.6820987971605
5,-3995.8621925867333
6,-3981.919406977974
7,-3972.004513253567
8,-3964.870094594129
9,-3959.608747234247
10,-3955.5935499712627
11,-3952.4136226241444
12,-3949.807105742918
13,-3947.6085797842643
14,-3945.713431373907
15,-3944.0551204555295
16,-3942.5908127460207
17,-3941.2922008683145
18,-3940.1395942627532
19,-3939.1181745507856
20,-3938.2157202810686
21,-3937.4213399432456
22,-3936.7248534412392
23,-3936.1165577380757
24,-3935.587193255134
25,-3935.1279986984846
26,-3934.730779801615
27,-3934.3879685596758
28,-3934.0926569987205
29,-3933.8386060130206
30,-3933.6202326947528
31,-3933.4325833275498
32,-3933.271295683587
33,-3933.1325555176954
34,-3933.0130488455225
35,-3932.9099132427937
36,-3932.8206906036953
37,-3932.7432810045916
38,-3932.67590034196
39,-3932.6170384367388
40,-3932.5654222828507
41,-3932.5199820698526
42,-3932.47982115604
43,-3932.4441886851914
44,-3932.4124558750636
45,-3932.3840962152963
46,-3932.3586672499487
47,-3932.335796645365
48,-3932.3151693346017
49,-3932.2965176684997
50,-3932.279613202735
51,-3932.2642595510156
52,-3932.2502873353606
53,-3932.237549259319
54,-3932.225916997728
55,-3932.2152779470953
56,-3932.205532909222
57,-3932.19659415493
58,-3932.1883839969482
59,-3932.180833184256
60,-3932.173880011471
61,-3932.1674692842903
62,-3932.1615516232087
63,-3932.1560826788955
64,-3932.151022575046
65,-3932.14633550425
66,-3932.141989169623
67,-3932.1379544173665
68,-3932.134204918185
69,-3932.1307168977874
70,-3932.127468805269
71,-3932.1244411440357
72,-3932.1216162088085
73,-3932.1189779400506
74,-3932.1165117345863
75,-3932.1142043263917
76,-3932.1120436242904
77,-3932.1100186032727
78,-3932.1081191937474
79,-3932.106336197634
80,-3932.104661219528
81,-3932.103086545849
82,-3932.101605136659
83,-3932.1002105236767
84,-3932.098896756202
85,-3932.0976583737074
86,-3932.0964903464846
87,-3932.09538802508
88,-3932.094347150984
89,-3932.093363767827
90,-3932.0924342367857
91,-3932.0915551625076
92,-3932.090723417081
93,-3932.0899361207485
94,-3932.089190563225
95,-3932.088484252761
96,-3932.0878148635575
97,-3932.087180232688
98,-3932.086578338073
99,-3932.086007307067
100,-3932.0854653773054
101,-3932.084950915424
102,-3932.0844623908933
103,-3932.0839983620353
104,-3932.0835574914763
105,-3932.0831385135125
106,-3932.082740253711
107,-3932.0823615994677
108,-3932.082001512878
109,-3932.081659011313
110,-3932.08133318371
111,-3932.081023160217
112,-3932.0807281252946
113,-3932.080447307768
114,-3932.0801799808733
115,-3932.079925461999
116,-3932.0796831077787
117,-3932.079452306801
118,-3932.0792324796676
119,-3932.079023083019
120,-3932.0788236040835
121,-3932.078633553728
122,-3932.0784524700152
123,-3932.0782799168064
124,-3932.078115477714
125,-3932.077958759023
126,-3932.0778093884865
127,-3932.0776670098217
128,-3932.0775312932856
129,-3932.077401913446
130,-3932.077278574016
131,-3932.077160985542
132,-3932.077048872993
133,-3932.0769419779244
134,-3932.0768400569877
135,-3932.076742873378
136,-3932.0766502032275
137,-3932.0765618309106
138,-3932.0764775616753
139,-3932.076397199341
140,-3932.076320563715
141,-3932.076247478109
142,-3932.0761777795888
143,-3932.0761113089648
144,-3932.076047915962
145,-3932.0759874576606
146,-3932.0759297970517
147,-3932.0758748033313
148,-3932.075822355436
149,-3932.0757723330426
150,-3932.075724626342
151,-3932.0756791256063
152,-3932.0756357286577
153,-3932.0755943414215
154,-3932.075554868199
155,-3932.0755172206527
156,-3932.075481314945
157,-3932.0754470710854
158,-3932.075414411307
159,-3932.0753832632727
160,-3932.075353557031
161,-3932.0753252258414
162,-3932.0752982061385
163,-3932.0752724373697
164,-3932.075247862046
165,-3932.0752244255364
166,-3932.075202074623
167,-3932.075180759114
168,-3932.07516043177
169,-3932.07514104701
170,-3932.075122561101
171,-3932.0751049323376
172,-3932.0750881218046
173,-3932.0750720902233
174,-3932.075056803422
175,-3932.075042224693
176,-3932.075028324516
177,-3932.075015069391
178,-3932.075002430247
179,-3932.074990377413
180,-3932.074978885077
181,-3932.074967926753
182,-3932.0749574775546
183,-3932.0749475145144
184,-3932.074938015076
185,-3932.074928957592
186,-3932.0749203212545
187,-3932.0749120869186
188,-3932.0749042358652
189,-3932.074896750938
190,-3932.074889614316
191,-3932.07488281039
192,-3932.0748763236197
193,-3932.0748701392286
194,-3932.0748642431645
195,-3932.074858622017
196,-3932.0748532628772
197,-3932.0748481537075
198,-3932.0748432825503
199,-3932.0748386383552
200,-3932.074834211415
201,-3932.0748299911975
202,-3932.0748259681422
203,-3932.0748221326876
204,-3932.0748184769463
205,-3932.0748149916794
206,-3932.0748116694463
207,-3932.07480850248
208,-3932.074805483342
209,-3932.0748026052324
210,-3932.074799861943
211,-3932.0747972469308
212,-3932.074794754098
213,-3932.0747923780937
214,-3932.074790113287
215,-3932.0747879546616
216,-3932.074785896709
217,-3932.0747839352907
218,-3932.074782065488
219,-3932.074780283563
220,-3932.0747785847543
221,-3932.0747769658715
222,-3932.0747754229405
223,-3932.0747739522362
224,-3932.074772550092
225,-3932.0747712143448
226,-3932.074769940857
227,-3932.074768727163
228,-3932.0747675702833
229,-3932.074766467721
230,-3932.074765417085
231,-3932.0747644157104
232,-3932.0747634611284
