subject_id,session_id,run_id,n_trials,prior_std_unique_count,prior_mean_unique_count,experiment_id_unique_count,trial_index_min,trial_index_max
1,1,1,213,1,1,1,1,213
1,1,2,215,1,1,1,1,215
1,1,3,215,1,1,1,1,215
1,1,4,207,1,1,1,1,207
1,1,5,215,1,1,1,1,215
1,2,6,213,1,1,1,1,213
1,2,7,215,1,1,1,1,215
1,2,8,207,1,1,1,1,207
1,2,9,215,1,1,1,1,215
1,2,10,215,1,1,1,1,215
1,3,11,215,1,1,1,1,215
1,3,12,213,1,1,1,1,213
1,3,13,215,1,1,1,1,215
1,3,14,207,1,1,1,1,207
1,3,15,215,1,1,1,1,215
1,4,16,207,1,1,1,1,207
1,4,17,215,1,1,1,1,215
1,4,18,213,1,1,1,1,213
1,4,19,215,1,1,1,1,215
1,4,20,215,1,1,1,1,215
1,5,21,215,1,1,1,1,215
1,5,22,207,1,1,1,1,207
1,5,23,213,1,1,1,1,213
1,5,24,215,1,1,1,1,215
1,5,25,215,1,1,1,1,215
1,6,26,202,1,1,1,1,202
1,6,27,226,1,1,1,1,226
1,6,28,204,1,1,1,1,204
1,6,29,221,1,1,1,1,221
1,6,30,226,1,1,1,1,226
1,7,31,204,1,1,1,1,204
1,7,32,226,1,1,1,1,226
1,7,33,226,1,1,1,1,226
1,7,34,202,1,1,1,1,202
1,7,35,221,1,1,1,1,221
1,8,36,202,1,1,1,1,202
1,8,37,226,1,1,1,1,226
1,8,38,204,1,1,1,1,204
1,8,39,221,1,1,1,1,221
1,8,40,226,1,1,1,1,226
2,1,1,213,1,1,1,1,213
2,1,2,215,1,1,1,1,215
2,1,3,215,1,1,1,1,215
2,1,4,207,1,1,1,1,207
2,1,5,215,1,1,1,1,215
2,2,6,213,1,1,1,1,213
2,2,7,215,1,1,1,1,215
2,2,8,215,1,1,1,1,215
2,2,9,207,1,1,1,1,207
2,2,10,215,1,1,1,1,215
2,3,11,215,1,1,1,1,215
2,3,12,213,1,1,1,1,213
2,3,13,215,1,1,1,1,215
2,3,14,207,1,1,1,1,207
2,3,15,215,1,1,1,1,215
2,4,16,215,1,1,1,1,215
2,4,17,213,1,1,1,1,213
2,4,18,215,1,1,1,1,215
2,4,19,207,1,1,1,1,207
2,4,20,215,1,1,1,1,215
2,5,20,207,1,1,1,1,207
2,5,22,215,1,1,1,1,215
2,5,23,213,1,1,1,1,213
2,5,24,215,1,1,1,1,215
2,5,25,215,1,1,1,1,215
2,6,26,215,1,1,1,1,215
2,6,27,215,1,1,1,1,215
2,6,28,207,1,1,1,1,207
2,6,29,215,1,1,1,1,215
2,7,30,213,1,1,1,1,213
2,7,31,215,1,1,1,1,215
2,7,32,215,1,1,1,1,215
2,7,33,207,1,1,1,1,207
2,8,31,213,1,1,1,1,213
2,8,33,215,1,1,1,1,215
2,8,35,215,1,1,1,1,215
2,8,37,207,1,1,1,1,207
3,1,1,207,1,1,1,1,207
3,1,2,215,1,1,1,1,215
3,1,3,213,1,1,1,1,213
3,1,4,215,1,1,1,1,215
3,1,5,215,1,1,1,1,215
3,2,6,213,1,1,1,1,213
3,2,7,215,1,1,1,1,215
3,2,8,215,1,1,1,1,215
3,2,9,207,1,1,1,1,207
3,2,10,215,1,1,1,1,215
3,3,11,207,1,1,1,1,207
3,3,12,215,1,1,1,1,215
3,3,13,215,1,1,1,1,215
3,3,14,213,1,1,1,1,213
3,3,15,215,1,1,1,1,215
3,4,16,215,1,1,1,1,215
3,4,17,207,1,1,1,1,207
3,4,18,213,1,1,1,1,213
3,4,19,215,1,1,1,1,215
3,4,20,215,1,1,1,1,215
3,5,21,215,1,1,1,1,215
3,5,22,213,1,1,1,1,213
3,5,23,215,1,1,1,1,215
3,5,24,207,1,1,1,1,207
3,5,25,215,1,1,1,1,215
3,6,26,213,1,1,1,1,213
3,6,27,215,1,1,1,1,215
3,6,28,207,1,1,1,1,207
3,6,29,215,1,1,1,1,215
3,7,30,204,1,1,1,1,204
3,7,31,202,1,1,1,1,202
3,7,32,226,1,1,1,1,226
3,7,33,221,1,1,1,1,221
3,7,34,226,1,1,1,1,226
3,8,35,221,1,1,1,1,221
3,8,36,226,1,1,1,1,226
3,8,37,202,1,1,1,1,202
3,8,38,204,1,1,1,1,204
3,8,39,226,1,1,1,1,226
3,9,40,221,1,1,1,1,221
3,9,41,226,1,1,1,1,226
3,9,42,226,1,1,1,1,226
3,9,43,202,1,1,1,1,202
3,9,44,204,1,1,1,1,204
4,1,1,215,1,1,1,1,215
4,1,2,207,1,1,1,1,207
4,1,3,215,1,1,1,1,215
4,1,4,215,1,1,1,1,215
4,2,5,215,1,1,1,1,215
4,2,6,207,1,1,1,1,207
4,2,7,213,1,1,1,1,213
4,2,8,215,1,1,1,1,215
4,2,9,215,1,1,1,1,215
4,3,10,207,1,1,1,1,207
4,3,11,215,1,1,1,1,215
4,3,12,215,1,1,1,1,215
4,3,13,213,1,1,1,1,213
4,4,14,215,1,1,1,1,215
4,4,15,213,1,1,1,1,213
4,4,16,215,1,1,1,1,215
4,4,17,207,1,1,1,1,207
4,4,18,215,1,1,1,1,215
4,5,19,215,1,1,1,1,215
4,5,20,146,1,1,1,1,146
4,5,21,213,1,1,1,1,213
4,5,22,207,1,1,1,1,207
4,5,23,188,1,1,1,1,188
5,1,1,215,1,1,1,1,215
5,1,2,215,1,1,1,1,215
5,1,3,207,1,1,1,1,207
5,1,4,213,1,1,1,1,213
5,2,5,215,1,1,1,1,215
5,2,6,207,1,1,1,1,207
5,2,7,215,1,1,1,1,215
5,2,8,215,1,1,1,1,215
5,3,9,213,1,1,1,1,213
5,3,10,215,1,1,1,1,215
5,3,11,207,1,1,1,1,207
5,3,12,215,1,1,1,1,215
5,4,13,226,1,1,1,1,226
5,4,14,204,1,1,1,1,204
5,4,15,221,1,1,1,1,221
5,4,16,202,1,1,1,1,202
5,4,17,226,1,1,1,1,226
5,5,18,202,1,1,1,1,202
5,5,19,204,1,1,1,1,204
5,5,20,226,1,1,1,1,226
5,5,21,226,1,1,1,1,226
5,5,22,221,1,1,1,1,221
5,6,23,221,1,1,1,1,221
5,6,24,226,1,1,1,1,226
5,6,25,202,1,1,1,1,202
5,6,26,204,1,1,1,1,204
5,6,27,226,1,1,1,1,226
6,1,1,204,1,1,1,1,204
6,1,2,221,1,1,1,1,221
6,1,3,226,1,1,1,1,226
6,1,4,202,1,1,1,1,202
6,1,5,226,1,1,1,1,226
6,2,6,202,1,1,1,1,202
6,2,7,221,1,1,1,1,221
6,2,8,226,1,1,1,1,226
6,2,9,204,1,1,1,1,204
6,2,10,226,1,1,1,1,226
6,3,11,204,1,1,1,1,204
6,3,12,221,1,1,1,1,221
6,3,13,226,1,1,1,1,226
6,3,14,202,1,1,1,1,202
6,3,15,226,1,1,1,1,226
6,4,16,226,1,1,1,1,226
6,4,17,204,1,1,1,1,204
6,4,18,226,1,1,1,1,226
6,4,19,221,1,1,1,1,221
6,4,20,202,1,1,1,1,202
6,5,21,226,1,1,1,1,226
6,5,22,226,1,1,1,1,226
6,5,23,221,1,1,1,1,221
6,5,24,204,1,1,1,1,204
6,5,25,202,1,1,1,1,202
6,6,26,221,1,1,1,1,221
6,6,27,204,1,1,1,1,204
6,6,28,226,1,1,1,1,226
6,6,29,202,1,1,1,1,202
6,6,30,226,1,1,1,1,226
6,7,31,202,1,1,1,1,202
6,7,32,204,1,1,1,1,204
6,7,33,226,1,1,1,1,226
6,7,34,221,1,1,1,1,221
6,7,35,226,1,1,1,1,226
7,1,1,215,1,1,1,1,215
7,1,2,207,1,1,1,1,207
7,1,3,213,1,1,1,1,213
7,1,4,215,1,1,1,1,215
7,2,5,215,1,1,1,1,215
7,2,6,215,1,1,1,1,215
7,2,7,207,1,1,1,1,207
7,2,8,215,1,1,1,1,215
7,3,9,213,1,1,1,1,213
7,3,10,215,1,1,1,1,215
7,3,11,215,1,1,1,1,215
7,3,12,215,1,1,1,1,215
7,4,13,202,1,1,1,1,202
7,4,14,226,1,1,1,1,226
7,4,15,204,1,1,1,1,204
7,4,16,221,1,1,1,1,221
7,4,17,226,1,1,1,1,226
7,5,18,221,1,1,1,1,221
7,5,19,226,1,1,1,1,226
7,5,20,204,1,1,1,1,204
7,5,21,226,1,1,1,1,226
7,5,22,202,1,1,1,1,202
7,6,23,226,1,1,1,1,226
7,6,24,204,1,1,1,1,204
7,6,25,202,1,1,1,1,202
7,6,26,221,1,1,1,1,221
7,6,27,226,1,1,1,1,226
8,1,1,207,1,1,1,1,207
8,1,2,215,1,1,1,1,215
8,1,3,215,1,1,1,1,215
8,1,4,213,1,1,1,1,213
8,2,5,213,1,1,1,1,213
8,2,6,215,1,1,1,1,215
8,2,7,215,1,1,1,1,215
8,2,8,215,1,1,1,1,215
8,3,9,207,1,1,1,1,207
8,3,10,215,1,1,1,1,215
8,3,11,215,1,1,1,1,215
8,3,12,215,1,1,1,1,215
8,4,13,226,1,1,1,1,226
8,4,14,226,1,1,1,1,226
8,4,15,204,1,1,1,1,204
8,4,16,202,1,1,1,1,202
8,4,17,221,1,1,1,1,221
8,5,18,221,1,1,1,1,221
8,5,19,202,1,1,1,1,202
8,5,20,226,1,1,1,1,226
8,5,21,204,1,1,1,1,204
8,5,22,226,1,1,1,1,226
8,6,23,204,1,1,1,1,204
8,6,24,226,1,1,1,1,226
8,6,25,202,1,1,1,1,202
8,6,26,226,1,1,1,1,226
8,6,27,221,1,1,1,1,221
9,1,1,221,1,1,1,1,221
9,1,2,204,1,1,1,1,204
9,1,3,226,1,1,1,1,226
9,1,4,226,1,1,1,1,226
9,1,5,202,1,1,1,1,202
9,2,6,226,1,1,1,1,226
9,2,7,204,1,1,1,1,204
9,2,8,221,1,1,1,1,221
9,2,9,226,1,1,1,1,226
9,2,10,202,1,1,1,1,202
9,3,11,221,1,1,1,1,221
9,3,12,226,1,1,1,1,226
9,3,13,226,1,1,1,1,226
9,3,14,202,1,1,1,1,202
9,3,15,204,1,1,1,1,204
9,4,16,202,1,1,1,1,202
9,4,17,204,1,1,1,1,204
9,4,18,226,1,1,1,1,226
9,4,19,226,1,1,1,1,226
9,4,20,221,1,1,1,1,221
9,5,21,204,1,1,1,1,204
9,5,22,226,1,1,1,1,226
9,5,23,221,1,1,1,1,221
9,5,24,226,1,1,1,1,226
9,5,25,202,1,1,1,1,202
9,6,26,221,1,1,1,1,221
9,6,27,202,1,1,1,1,202
9,6,28,204,1,1,1,1,204
9,6,29,226,1,1,1,1,226
9,6,30,226,1,1,1,1,226
9,7,31,226,1,1,1,1,226
9,7,32,221,1,1,1,1,221
9,7,33,226,1,1,1,1,226
9,7,34,204,1,1,1,1,204
9,7,35,202,1,1,1,1,202
9,8,36,204,1,1,1,1,204
9,8,37,221,1,1,1,1,221
9,8,38,202,1,1,1,1,202
9,8,39,226,1,1,1,1,226
9,8,40,226,1,1,1,1,226
10,1,1,226,1,1,1,1,226
10,1,2,202,1,1,1,1,202
10,1,3,221,1,1,1,1,221
10,1,4,204,1,1,1,1,204
10,1,5,226,1,1,1,1,226
10,2,6,202,1,1,1,1,202
10,2,7,226,1,1,1,1,226
10,2,8,204,1,1,1,1,204
10,2,9,226,1,1,1,1,226
10,2,10,221,1,1,1,1,221
10,3,11,226,1,1,1,1,226
10,3,12,1,1,1,1,1,1
10,3,13,221,1,1,1,1,221
10,3,14,226,1,1,1,1,226
10,3,15,202,1,1,1,1,202
10,4,16,221,1,1,1,1,221
10,4,17,204,1,1,1,1,204
10,4,18,226,1,1,1,1,226
10,4,19,202,1,1,1,1,202
10,5,20,204,1,1,1,1,204
10,5,21,221,1,1,1,1,221
10,5,22,226,1,1,1,1,226
10,5,23,226,1,1,1,1,226
10,5,24,202,1,1,1,1,202
10,6,25,221,1,1,1,1,221
10,6,26,226,1,1,1,1,226
10,6,27,226,1,1,1,1,226
10,6,28,204,1,1,1,1,204
10,6,29,202,1,1,1,1,202
11,1,1,221,1,1,1,1,221
11,1,2,226,1,1,1,1,226
11,1,3,204,1,1,1,1,204
11,1,4,202,1,1,1,1,202
11,1,5,226,1,1,1,1,226
11,2,6,226,1,1,1,1,226
11,2,7,204,1,1,1,1,204
11,2,8,202,1,1,1,1,202
11,2,9,221,1,1,1,1,221
11,2,10,226,1,1,1,1,226
11,3,11,226,1,1,1,1,226
11,3,12,202,1,1,1,1,202
11,3,13,226,1,1,1,1,226
11,3,14,221,1,1,1,1,221
11,3,15,204,1,1,1,1,204
11,4,16,226,1,1,1,1,226
11,4,17,204,1,1,1,1,204
11,4,18,221,1,1,1,1,221
11,4,19,202,1,1,1,1,202
11,4,20,226,1,1,1,1,226
11,5,21,202,1,1,1,1,202
11,5,22,226,1,1,1,1,226
11,5,23,221,1,1,1,1,221
11,5,24,226,1,1,1,1,226
11,5,25,204,1,1,1,1,204
11,6,26,221,1,1,1,1,221
11,6,27,204,1,1,1,1,204
11,6,28,226,1,1,1,1,226
11,6,29,226,1,1,1,1,226
11,6,30,202,1,1,1,1,202
12,1,1,204,1,1,1,1,204
12,1,2,221,1,1,1,1,221
12,1,3,226,1,1,1,1,226
12,1,4,226,1,1,1,1,226
12,1,5,202,1,1,1,1,202
12,2,6,226,1,1,1,1,226
12,2,7,226,1,1,1,1,226
12,2,8,202,1,1,1,1,202
12,2,9,221,1,1,1,1,221
12,2,10,204,1,1,1,1,204
12,3,11,204,1,1,1,1,204
12,3,12,226,1,1,1,1,226
12,3,13,226,1,1,1,1,226
12,3,14,202,1,1,1,1,202
12,3,15,221,1,1,1,1,221
12,4,16,202,1,1,1,1,202
12,4,17,204,1,1,1,1,204
12,4,18,221,1,1,1,1,221
12,4,19,226,1,1,1,1,226
12,4,20,226,1,1,1,1,226
12,5,21,226,1,1,1,1,226
12,5,22,221,1,1,1,1,221
12,5,23,204,1,1,1,1,204
12,5,24,202,1,1,1,1,202
12,5,25,226,1,1,1,1,226
12,6,26,204,1,1,1,1,204
12,6,27,226,1,1,1,1,226
12,6,28,221,1,1,1,1,221
12,6,29,226,1,1,1,1,226
12,6,30,202,1,1,1,1,202
