iteration,log_likelihood
1,-8054.10788934249
2,-7630.568948620907
3,-7570.5625261374735
4,-7554.095413056042
5,-7545.884283167762
6,-7540.419463708957
7,-7536.283926192855
8,-7532.931623225821
9,-7530.096210056179
10,-7527.628048703538
11,-7525.4347988458785
12,-7523.455560052093
13,-7521.648075145319
14,-7519.981746079775
15,-7518.433528276943
16,-7516.985374800639
17,-7515.622569742094
18,-7514.33259738011
19,-7513.104347710774
20,-7511.927542181084
21,-7510.7923118880635
22,-7509.6888913167195
23,-7508.607412801323
24,-7507.537805142597
25,-7506.469816531942
26,-7505.393197081364
27,-7504.2980865497275
28,-7503.17565038065
29,-7502.018978869835
30,-7500.824195389896
31,-7499.591605150213
32,-7498.326581125029
33,-7497.039800451532
34,-7495.746514252562
35,-7494.464812241583
36,-7493.213245294414
37,-7492.008466831788
38,-7490.863538849067
39,-7489.787225594201
40,-7488.784188788706
41,-7487.855740029143
42,-7487.000774198836
43,-7486.216623066471
44,-7485.499713360103
45,-7484.84601813781
46,-7484.251340591601
47,-7483.711481062825
48,-7483.222330765813
49,-7482.77992304418
50,-7482.380461453293
51,-7482.020335601657
52,-7481.696130397675
53,-7481.404631350733
54,-7481.14282705261
55,-7480.907909293921
56,-7480.697271039945
57,-7480.508502457414
58,-7480.339385220306
59,-7480.187885364539
60,-7480.052144986654
61,-7479.930473084456
62,-7479.821335821701
63,-7479.723346470004
64,-7479.635255245297
65,-7479.555939217547
66,-7479.484392435264
67,-7479.419716371663
68,-7479.361110769577
69,-7479.307864936757
70,-7479.25934952305
71,-7479.215008794943
72,-7479.1743534112375
73,-7479.136953694927
74,-7479.102433390948
75,-7479.070463895454
76,-7479.040758940312
77,-7479.013069715195
78,-7478.987180409165
79,-7478.962904153118
80,-7478.940079344342
81,-7478.918566334039
82,-7478.8982444581225
83,-7478.87900939129
84,-7478.860770803574
85,-7478.843450298301
86,-7478.826979609745
87,-7478.811299038783
88,-7478.796356104758
89,-7478.782104392048
90,-7478.768502570484
91,-7478.755513569506
92,-7478.743103887081
93,-7478.731243015558
94,-7478.719902968066
95,-7478.709057890608
96,-7478.698683746351
97,-7478.688758060214
98,-7478.679259713423
99,-7478.670168778826
100,-7478.661466389348
101,-7478.653134632965
102,-7478.645156468725
103,-7478.63751565925
104,-7478.630196716045
105,-7478.623184854557
106,-7478.616465956664
107,-7478.61002653859
108,-7478.603853722949
109,-7478.597935213641
110,-7478.592259272839
111,-7478.586814699512
112,-7478.58159080891
113,-7478.576577412828
114,-7478.571764800384
115,-7478.567143719235
116,-7478.562705357137
117,-7478.558441323817
118,-7478.554343633204
119,-7478.550404685962
120,-7478.546617252428
121,-7478.542974455973
122,-7478.539469756733
123,-7478.536096935865
124,-7478.532850080288
125,-7478.5297235678945
126,-7478.526712053338
127,-7478.523810454362
128,-7478.521013938646
129,-7478.518317911206
130,-7478.515718002369
131,-7478.513210056266
132,-7478.510790119876
133,-7478.508454432541
134,-7478.506199416073
135,-7478.504021665269
136,-7478.501917938964
137,-7478.499885151477
138,-7478.497920364588
139,-7478.496020779842
140,-7478.494183731314
141,-7478.492406678738
142,-7478.49068720103
143,-7478.48902299009
144,-7478.487411845039
145,-7478.485851666668
146,-7478.484340452253
147,-7478.482876290638
148,-7478.481457357556
149,-7478.480081911223
150,-7478.478748288213
151,-7478.477454899477
152,-7478.476200226617
153,-7478.4749828183985
154,-7478.4738012873695
155,-7478.472654306749
156,-7478.4715406074065
157,-7478.470458975067
158,-7478.469408247601
159,-7478.468387312537
160,-7478.467395104622
161,-7478.466430603586
162,-7478.465492831961
163,-7478.464580853069
164,-7478.4636937690775
165,-7478.462830719176
166,-7478.461990877827
167,-7478.461173453141
168,-7478.460377685301
169,-7478.459602845084
170,-7478.45884823246
171,-7478.458113175267
172,-7478.457397027914
173,-7478.456699170221
174,-7478.456019006249
175,-7478.455355963219
176,-7478.454709490476
177,-7478.454079058542
178,-7478.45346415814
179,-7478.452864299331
180,-7478.452279010675
181,-7478.45170783843
182,-7478.451150345768
183,-7478.450606112056
184,-7478.450074732204
185,-7478.4495558159515
186,-7478.449048987262
187,-7478.448553883739
188,-7478.448070156042
189,-7478.447597467338
190,-7478.447135492807
191,-7478.44668391913
192,-7478.446242444006
193,-7478.445810775755
194,-7478.445388632825
195,-7478.444975743412
196,-7478.444571845096
197,-7478.444176684425
198,-7478.443790016561
199,-7478.443411604987
200,-7478.443041221121
201,-7478.442678644051
202,-7478.442323660211
203,-7478.441976063111
204,-7478.441635653064
205,-7478.441302236911
206,-7478.440975627793
207,-7478.440655644902
208,-7478.440342113248
209,-7478.4400348634645
210,-7478.439733731566
211,-7478.439438558765
212,-7478.439149191291
213,-7478.438865480188
214,-7478.438587281145
215,-7478.438314454331
216,-7478.438046864235
217,-7478.437784379489
218,-7478.437526872753
219,-7478.437274220546
220,-7478.437026303126
221,-7478.436783004342
222,-7478.436544211518
223,-7478.436309815333
224,-7478.436079709697
225,-7478.4358537916405
226,-7478.4356319612325
227,-7478.435414121413
228,-7478.4352001779735
229,-7478.434990039399
230,-7478.434783616824
231,-7478.43458082389
232,-7478.434381576723
233,-7478.434185793797
234,-7478.433993395895
235,-7478.433804305997
236,-7478.433618449249
237,-7478.433435752862
238,-7478.433256146054
239,-7478.433079559981
240,-7478.432905927693
241,-7478.432735184049
242,-7478.432567265664
243,-7478.432402110861
244,-7478.432239659625
245,-7478.432079853537
246,-7478.431922635721
247,-7478.4317679508
248,-7478.431615744865
249,-7478.431465965407
250,-7478.431318561277
251,-7478.431173482677
252,-7478.431030681053
253,-7478.430890109139
254,-7478.4307517208445
255,-7478.430615471251
256,-7478.43048131661
257,-7478.430349214238
258,-7478.430219122547
259,-7478.430091000959
260,-7478.429964809934
261,-7478.429840510888
262,-7478.429718066203
263,-7478.429597439167
264,-7478.42947859398
265,-7478.429361495694
266,-7478.429246110229
267,-7478.42913240429
268,-7478.4290203454175
269,-7478.428909901907
270,-7478.428801042811
271,-7478.428693737906
272,-7478.4285879576955
273,-7478.428483673352
274,-7478.428380856755
275,-7478.428279480399
276,-7478.4281795174475
277,-7478.428080941659
278,-7478.427983727403
279,-7478.427887849634
280,-7478.427793283879
281,-7478.427700006221
282,-7478.427607993267
283,-7478.427517222171
284,-7478.427427670575
285,-7478.427339316647
286,-7478.427252139007
287,-7478.427166116771
288,-7478.427081229507
289,-7478.4269974572335
290,-7478.426914780397
291,-7478.426833179872
292,-7478.426752636943
293,-7478.426673133312
294,-7478.426594651061
295,-7478.426517172652
296,-7478.426440680938
297,-7478.426365159117
298,-7478.4262905907435
299,-7478.426216959733
300,-7478.426144250318
