subject_id,viterbi_state,n_trials,total_trials,proportion
1,sensory,6357,8562,0.7424667133847231
1,prior,2190,8562,0.255781359495445
1,lapse,15,8562,0.001751927119831815
2,sensory,1686,7877,0.21404087850704584
2,prior,5910,7877,0.7502856417417799
2,lapse,281,7877,0.035673479751174304
3,sensory,5839,9412,0.6203782405439864
3,prior,3498,9412,0.37165320866978324
3,lapse,75,9412,0.007968550786230344
4,sensory,2318,4799,0.4830172952698479
4,prior,2408,4799,0.5017712023338196
4,lapse,73,4799,0.01521150239633257
5,sensory,5433,5789,0.9385040594230437
5,prior,67,5789,0.011573674209708068
5,lapse,289,5789,0.04992226636724823
6,sensory,4861,7553,0.6435853303323182
6,prior,2582,7553,0.3418509201641732
6,lapse,110,7553,0.01456374950350854
7,sensory,3620,5797,0.6244609280662412
7,prior,2117,5797,0.3651888908055891
7,lapse,60,5797,0.010350181128169742
8,sensory,2359,5797,0.4069346213558737
8,prior,3164,5797,0.5457995514921511
8,lapse,274,5797,0.04726582715197516
9,sensory,5966,8632,0.6911492122335496
9,prior,2548,8632,0.29518072289156627
9,lapse,118,8632,0.013670064874884152
10,sensory,2624,6044,0.43414956982131037
10,prior,3183,6044,0.5266379880873594
10,lapse,237,6044,0.03921244209133024
11,sensory,4528,6474,0.6994130367624344
11,prior,1888,6474,0.2916280506641952
11,lapse,58,6474,0.008958912573370404
12,sensory,3102,6474,0.47914735866543096
12,prior,3085,6474,0.4765214704973741
12,lapse,287,6474,0.044331170837194935
