model_name,data_version,subject_id,n_test_trials,total_ll,ll_per_trial
exchangeable_block_mixture,original,1,8562,-3873.251115985049,-0.45237691146753667
exchangeable_block_mixture,original,2,7877,-4363.958150802434,-0.5540127143331768
exchangeable_block_mixture,original,3,9412,-3999.5711702222306,-0.424943813240781
exchangeable_block_mixture,original,4,4799,-3648.802773546011,-0.7603256456649324
exchangeable_block_mixture,original,5,5789,-7397.7902939273345,-1.2779046975172454
exchangeable_block_mixture,original,6,7553,-6885.1498460346775,-0.9115781604706312
exchangeable_block_mixture,original,7,5797,-3720.1762473125164,-0.641741633139989
exchangeable_block_mixture,original,8,5797,-7064.225672219866,-1.2186002539623713
exchangeable_block_mixture,original,9,8632,-7236.752898141167,-0.8383634033991157
exchangeable_block_mixture,original,10,6044,-6413.336588113451,-1.0611079728844228
exchangeable_block_mixture,original,11,6474,-5344.973577352017,-0.8256060514908893
exchangeable_block_mixture,original,12,6474,-6168.006679242099,-0.9527350446774945
exchangeable_block_mixture,shuffled,1,8562,-3873.251115985049,-0.45237691146753667
exchangeable_block_mixture,shuffled,2,7877,-4363.958150802435,-0.554012714333177
exchangeable_block_mixture,shuffled,3,9412,-3999.5711702222306,-0.424943813240781
exchangeable_block_mixture,shuffled,4,4799,-3648.802773546011,-0.7603256456649324
exchangeable_block_mixture,shuffled,5,5789,-7397.790293927335,-1.2779046975172457
exchangeable_block_mixture,shuffled,6,7553,-6885.1498460346775,-0.9115781604706312
exchangeable_block_mixture,shuffled,7,5797,-3720.176247312517,-0.6417416331399891
exchangeable_block_mixture,shuffled,8,5797,-7064.225672219867,-1.2186002539623715
exchangeable_block_mixture,shuffled,9,8632,-7236.752898141167,-0.8383634033991157
exchangeable_block_mixture,shuffled,10,6044,-6413.336588113452,-1.061107972884423
exchangeable_block_mixture,shuffled,11,6474,-5344.973577352017,-0.8256060514908893
exchangeable_block_mixture,shuffled,12,6474,-6168.006679242099,-0.9527350446774945
prior_conditioned_iid,original,1,8562,-3945.6828608112523,-0.4608365873407209
prior_conditioned_iid,original,2,7877,-4286.045673401253,-0.544121578443729
prior_conditioned_iid,original,3,9412,-3916.6046726458712,-0.4161288432475426
prior_conditioned_iid,original,4,4799,-3804.1848553567247,-0.7927036581280943
prior_conditioned_iid,original,5,5789,-7497.973605417243,-1.295210503613274
prior_conditioned_iid,original,6,7553,-7192.349570062351,-0.9522507043641402
prior_conditioned_iid,original,7,5797,-3782.5860232484233,-0.6525075078917412
prior_conditioned_iid,original,8,5797,-7898.987398844436,-1.3625991717861714
prior_conditioned_iid,original,9,8632,-7262.806288027206,-0.8413816367038005
prior_conditioned_iid,original,10,6044,-6669.601489220932,-1.1035078572503196
prior_conditioned_iid,original,11,6474,-5428.845472860973,-0.8385612407879167
prior_conditioned_iid,original,12,6474,-6594.376564979984,-1.0185938469230744
prior_conditioned_iid,shuffled,1,8562,-3945.682860811253,-0.46083658734072097
prior_conditioned_iid,shuffled,2,7877,-4286.045673401253,-0.544121578443729
prior_conditioned_iid,shuffled,3,9412,-3916.6046726458712,-0.4161288432475426
prior_conditioned_iid,shuffled,4,4799,-3804.1848553567247,-0.7927036581280943
prior_conditioned_iid,shuffled,5,5789,-7497.973605417243,-1.295210503613274
