iteration,log_likelihood
1,-6655.005774158296
2,-6378.955585392541
3,-6294.939944525775
4,-6259.113439538079
5,-6230.212111866741
6,-6207.96285168974
7,-6189.923292647498
8,-6173.878411661929
9,-6158.602878882626
10,-6147.725924384201
11,-6133.838806511128
12,-6123.302482281862
13,-6117.307300319444
14,-6111.644451983163
15,-6098.546004522087
16,-6080.228002940389
17,-6067.577030767586
18,-6060.443407632569
19,-6057.279405768308
20,-6056.054557349412
21,-6055.588485881303
22,-6055.398407684624
23,-6055.310589928431
24,-6055.26364275793
25,-6055.235004481991
26,-6055.215728995424
27,-6055.201886914092
28,-6055.191537835117
29,-6055.1836052412
30,-6055.177428308277
31,-6055.172568205003
32,-6055.168716555657
33,-6055.165648030342
34,-6055.163193544462
35,-6055.161223885361
36,-6055.1596390434615
37,-6055.158360899184
38,-6055.157328014161
39,-6055.156491814467
40,-6055.155813735127
41,-6055.155263050868
42,-6055.154815209515
43,-6055.154450540426
44,-6055.154153247055
45,-6055.153910616931
46,-6055.153712399473
47,-6055.1535503141795
48,-6055.1534176606565
49,-6055.153309008515
50,-6055.153219950131
51,-6055.153146903069
52,-6055.1530869518165
53,-6055.153037720782
54,-6055.152997272118
55,-6055.152964023419
56,-6055.15293668128
57,-6055.152914187556
58,-6055.152895675878
59,-6055.1528804363315
60,-6055.15286788681
61,-6055.152857549699
62,-6055.152849032873
63,-6055.152842014238
64,-6055.152836229088
65,-6055.152831459776
66,-6055.152827527275
67,-6055.152824284271
68,-6055.152821609528
69,-6055.152819403191
70,-6055.1528175830335
71,-6055.152816081316
72,-6055.152814842209
73,-6055.152813819715
74,-6055.152812975899
