iteration,log_likelihood
1,-3086.368369332451
2,-2877.9351057453564
3,-2865.09585988192
4,-2859.6240369502375
5,-2856.096665155686
6,-2853.5802222412863
7,-2851.671120063807
8,-2850.1619250065855
9,-2848.9288025835194
10,-2847.8896718069495
11,-2846.98596641772
12,-2846.1690327709566
13,-2845.3775821249624
14,-2844.476303911529
15,-2843.2088865167834
16,-2841.7706150792546
17,-2840.7098361728354
18,-2839.9375653808493
19,-2839.323227454149
20,-2838.8109074832137
21,-2838.3748699309053
22,-2838.0008719861967
23,-2837.6793675328154
24,-2837.4029833896675
25,-2837.1655569462237
26,-2836.961753621382
27,-2836.7869001992262
28,-2836.636897433768
29,-2836.508160773605
30,-2836.3975705976663
31,-2836.3024257774823
32,-2836.2203990383837
33,-2836.1494942144445
34,-2836.088005927479
35,-2836.034482206612
36,-2835.9876904022585
37,-2835.946586559873
38,-2835.910288253027
39,-2835.878050748181
40,-2835.8492462859963
41,-2835.8233462114804
42,-2835.799905660378
43,-2835.778550505134
44,-2835.7589662737887
45,-2835.7408887744173
46,-2835.724096181866
47,-2835.708402370001
48,-2835.6936512990424
49,-2835.6797122930584
50,-2835.6664760658546
51,-2835.653851374685
52,-2835.6417621997634
53,-2835.630145363717
54,-2835.6189485190985
55,-2835.608128443987
56,-2835.5976495957075
57,-2835.587482881264
58,-2835.577604610066
59,-2835.567995600531
60,-2835.55864041696
61,-2835.549526717171
62,-2835.5406446946704
63,-2835.5319866018995
64,-2835.523546343258
65,-2835.5153191285117
66,-2835.507301178537
67,-2835.4994894767065
68,-2835.491881560017
69,-2835.484475345012
70,-2835.4772689840643
71,-2835.470260748206
72,-2835.463448933089
73,-2835.4568317850562
74,-2835.4504074445704
75,-2835.444173904607
76,-2835.4381289817984
77,-2835.432270298378
78,-2835.4265952731243
79,-2835.4211011197685
80,-2835.4157848514296
81,-2835.410643289849
82,-2835.4056730783245
83,-2835.4008706973973
84,-2835.3962324824706
85,-2835.391754642623
86,-2835.387433280123
87,-2835.383264410007
88,-2835.379243979466
89,-2835.3753678866033
90,-2835.371631998396
91,-2835.368032167605
92,-2835.3645642485676
93,-2835.361224111728
94,-2835.3580076568746
95,-2835.3549108250936
96,-2835.351929609397
97,-2835.3490600641003
98,-2835.3462983129834
99,-2835.343640556279
100,-2835.3410830765656
101,-2835.338622243645
102,-2835.3362545184914
103,-2835.333976456296
104,-2835.3317847087746
105,-2835.3296760257135
106,-2835.327647255927
107,-2835.325695347607
108,-2835.323817348203
109,-2835.3220104038396
110,-2835.32027175838
111,-2835.3185987521383
112,-2835.3169888203365
113,-2835.3154394913067
114,-2835.3139483845207
115,-2835.312513208443
116,-2835.3111317582884
117,-2835.309801913647
118,-2835.308521636063
119,-2835.3072889665646
120,-2835.30610202316
121,-2835.304958998323
122,-2835.3038581564792
123,-2835.3027978315104
124,-2835.3017764242923
125,-2835.300792400258
126,-2835.2998442869985
127,-2835.298930671936
128,-2835.29805020002
129,-2835.2972015715104
130,-2835.2963835398014
131,-2835.295594909305
132,-2835.2948345334307
133,-2835.294101312589
134,-2835.2933941922824
135,-2835.2927121612643
136,-2835.292054249761
137,-2835.2914195277463
138,-2835.290807103292
139,-2835.290216120988
140,-2835.289645760402
141,-2835.289095234614
142,-2835.28856378881
143,-2835.28805069893
144,-2835.287555270358
145,-2835.2870768366924
146,-2835.286614758545
147,-2835.2861684223853
148,-2835.2857372394815
149,-2835.2853206448003
150,-2835.284918096044
151,-2835.2845290726673
152,-2835.284153074966
153,-2835.2837896231854
154,-2835.2834382566894
155,-2835.283098533145
156,-2835.282770027752
157,-2835.2824523325066
158,-2835.282145055493
159,-2835.2818478202125
160,-2835.2815602649257
161,-2835.2812820420504
162,-2835.2810128175624
163,-2835.280752270422
164,-2835.2805000920457
165,-2835.280255985791
166,-2835.2800196664457
167,-2835.2797908597645
168,-2835.2795693020275
169,-2835.279354739582
170,-2835.2791469284516
171,-2835.278945633933
172,-2835.278750630199
173,-2835.2785616999754
174,-2835.2783786341524
175,-2835.278201231477
176,-2835.2780292982297
177,-2835.2778626479194
178,-2835.2777011009875
179,-2835.277544484547
180,-2835.2773926320915
181,-2835.277245383257
182,-2835.2771025835723
183,-2835.2769640842243
184,-2835.27682974184
185,-2835.276699418255
186,-2835.2765729803286
187,-2835.276450299739
188,-2835.276331252791
189,-2835.2762157202324
190,-2835.276103587101
191,-2835.2759947425247
192,-2835.2758890795985
193,-2835.275786495208
194,-2835.275686889889
195,-2835.275590167695
196,-2835.2754962360523
197,-2835.2754050056374
198,-2835.27531639025
199,-2835.2752303067005
200,-2835.2751466746886
201,-2835.275065416707
202,-2835.2749864579055
203,-2835.2749097260394
204,-2835.274835151333
205,-2835.274762666397
206,-2835.27469220616
207,-2835.2746237077486
208,-2835.2745571104347
209,-2835.274492355542
210,-2835.274429386374
211,-2835.274368148149
212,-2835.274308587915
213,-2835.274250654496
214,-2835.2741942984244
215,-2835.2741394718723
216,-2835.274086128605
217,-2835.2740342239163
218,-2835.2739837145664
219,-2835.273934558746
220,-2835.2738867160174
221,-2835.2738401472566
222,-2835.273794814623
223,-2835.273750681503
224,-2835.2737077124716
225,-2835.2736658732456
226,-2835.2736251306496
227,-2835.273585452581
228,-2835.2735468079495
229,-2835.273509166683
230,-2835.2734724996467
231,-2835.2734367786397
232,-2835.273401976364
233,-2835.2733680663723
234,-2835.2733350230565
235,-2835.273302821612
236,-2835.2732714380186
237,-2835.273240848999
238,-2835.2732110320117
239,-2835.2731819652076
240,-2835.273153627422
241,-2835.273125998138
242,-2835.273099057481
243,-2835.2730727861863
244,-2835.2730471655714
245,-2835.2730221775396
246,-2835.2729978045413
247,-2835.272974029556
248,-2835.2729508360876
249,-2835.2729282081355
250,-2835.2729061301948
251,-2835.2728845872102
252,-2835.272863564587
253,-2835.2728430481734
254,-2835.2728230242346
255,-2835.272803479448
256,-2835.2727844008887
257,-2835.2727657760106
258,-2835.2727475926436
259,-2835.272729838982
260,-2835.2727125035562
261,-2835.2726955752414
262,-2835.2726790432384
263,-2835.272662897065
264,-2835.272647126539
265,-2835.27263172178
266,-2835.2726166731936
267,-2835.272601971461
268,-2835.272587607537
269,-2835.2725735726303
270,-2835.2725598582065
271,-2835.2725464559735
272,-2835.2725333578833
273,-2835.2725205561064
274,-2835.2725080430473
275,-2835.2724958113167
276,-2835.272483853738
277,-2835.272472163342
278,-2835.2724607333503
279,-2835.272449557173
280,-2835.2724386284103
281,-2835.272427940842
282,-2835.2724174884156
283,-2835.2724072652522
284,-2835.2723972656327
285,-2835.2723874839967
286,-2835.2723779149437
287,-2835.2723685532105
288,-2835.2723593936857
289,-2835.272350431402
290,-2835.272341661522
291,-2835.272333079337
292,-2835.2723246802757
293,-2835.272316459884
294,-2835.2723084138297
295,-2835.2723005379
296,-2835.2722928279945
297,-2835.272285280123
298,-2835.2722778903994
299,-2835.272270655043
300,-2835.2722635703817
