iteration,log_likelihood
1,-5438.891773011287
2,-5314.649684333619
3,-5282.629909526084
4,-5269.411402923778
5,-5262.681191399845
6,-5258.760399491508
7,-5256.225530421008
8,-5254.435004952065
9,-5253.072476759188
10,-5251.970746961594
11,-5251.035068582929
12,-5250.268164709252
13,-5249.293652279292
14,-5245.9152204835
15,-5240.759898097542
16,-5238.077117859464
17,-5236.438808791584
18,-5235.291927370381
19,-5234.411865177184
20,-5233.688229863261
21,-5233.057595136711
22,-5232.48178309524
23,-5231.942477124684
24,-5231.441255303483
25,-5230.995946000463
26,-5230.627125185048
27,-5230.341993751215
28,-5230.130585237035
29,-5229.974691770542
30,-5229.857216329984
31,-5229.765743006291
32,-5229.692203584424
33,-5229.631509130079
34,-5229.580391695816
35,-5229.536663100634
36,-5229.498786526824
37,-5229.465635614649
38,-5229.436356848984
39,-5229.410287511962
40,-5229.386903927342
41,-5229.365786883137
42,-5229.346597357734
43,-5229.329058818838
44,-5229.31294396136
45,-5229.298064584485
46,-5229.2842637654385
47,-5229.271409753457
48,-5229.259391172653
49,-5229.248113231815
50,-5229.237494714549
51,-5229.227465577824
52,-5229.217965027209
53,-5229.208939967159
54,-5229.200343747648
55,-5229.192135145402
56,-5229.184277531114
57,-5229.176738184593
58,-5229.1694877285845
59,-5229.1624996583805
60,-5229.1557499491055
61,-5229.149216725768
62,-5229.142879984261
63,-5229.136721353498
64,-5229.13072389112
65,-5229.124871906568
66,-5229.119150806495
67,-5229.113546958413
68,-5229.10804756918
69,-5229.102640575373
70,-5229.097314543069
71,-5229.092058574795
72,-5229.0868622216785
73,-5229.081715398782
74,-5229.076608301911
75,-5229.071531323693
76,-5229.0664749670195
77,-5229.061429753204
78,-5229.056386122025
79,-5229.0513343200355
80,-5229.046264272323
81,-5229.041165431874
82,-5229.0360265980735
83,-5229.030835693321
84,-5229.025579481869
85,-5229.0202432085935
86,-5229.014810124945
87,-5229.009260853586
88,-5229.003572517881
89,-5228.99771752114
90,-5228.99166179105
91,-5228.985362184593
92,-5228.978762532364
93,-5228.971787396719
94,-5228.964331825522
95,-5228.956243746972
96,-5228.947292061176
97,-5228.937105030057
98,-5228.925041918552
99,-5228.90989956748
100,-5228.889159913178
101,-5228.85676180547
102,-5228.795223353479
103,-5228.642000337667
104,-5228.145993100851
105,-5226.80817530308
106,-5225.3924433117345
107,-5224.56467011778
108,-5224.083358058602
109,-5223.780683547745
110,-5223.569010622641
111,-5223.405467849687
112,-5223.2694102049745
113,-5223.1507004889745
114,-5223.044160589823
115,-5222.947025197693
116,-5222.857758008004
117,-5222.77547566815
118,-5222.6996484920655
119,-5222.62993397592
120,-5222.566079238823
121,-5222.5078627397725
122,-5222.455060438821
123,-5222.407428133159
124,-5222.36469473155
125,-5222.326562766275
126,-5222.29271336085
127,-5222.262810762047
128,-5222.236471809962
129,-5222.213306087447
130,-5222.192958390989
131,-5222.175106363247
132,-5222.159458605029
133,-5222.145752864829
134,-5222.133754188619
135,-5222.123253004243
136,-5222.11406315614
137,-5222.106019923903
138,-5222.0989780624905
139,-5222.09280989934
140,-5222.087403517249
141,-5222.082661044666
142,-5222.078497067701
143,-5222.074837171677
144,-5222.071616614706
145,-5222.068779131583
