model_name,subject_id,n_trials,log_likelihood,parameters_per_subject,aic,bic_subject,converged
block_plus_markov,1,8562,-3753.147657225399,33,7572.295314450798,7805.113254312059,True
block_plus_markov,2,7877,-4110.865504312306,33,8287.731008624613,8517.797187814822,True
block_plus_markov,3,9412,-3924.526456575419,33,7915.052913150838,8150.994357895797,True
block_plus_markov,4,4799,-3575.738163589377,33,7217.476327178754,7431.189700960076,True
block_plus_markov,5,5789,-7322.404266617179,33,14710.808533234358,14930.711123088966,False
block_plus_markov,6,7553,-6744.932298824234,33,13555.864597648468,13784.544701420811,False
block_plus_markov,7,5797,-3617.8681855272125,33,7301.736371054425,7521.684533158636,False
block_plus_markov,8,5797,-6964.342213059214,33,13994.684426118429,14214.63258822264,True
block_plus_markov,9,8632,-7176.119592002154,33,14418.239184004307,14651.325823733261,False
block_plus_markov,10,6044,-6047.993395676289,33,12161.986791352578,12383.311895024535,False
block_plus_markov,11,6474,-5087.560751377242,33,10241.121502754484,10464.714634092528,False
block_plus_markov,12,6474,-5972.654963490653,33,12011.309926981306,12234.90305831935,True
exchangeable_block_mixture,1,8562,-3832.455991808474,15,7694.911983616948,7800.738319917522,True
exchangeable_block_mixture,2,7877,-4219.914059516079,15,8469.828119032158,8574.403655027707,True
exchangeable_block_mixture,3,9412,-3938.791270505656,15,7907.582541011312,8014.828652259021,True
exchangeable_block_mixture,4,4799,-3600.426584506939,15,7230.853169013878,7327.995611641752,True
exchangeable_block_mixture,5,5789,-7329.188653199929,15,14688.377306399858,14788.333029061043,True
exchangeable_block_mixture,6,7553,-6829.797255985647,15,13689.594511971294,13793.540013685995,True
exchangeable_block_mixture,7,5797,-3638.4985067593225,15,7306.997013518645,7406.973450838741,True
exchangeable_block_mixture,8,5797,-6974.766376865888,15,13979.532753731775,14079.509191051871,True
exchangeable_block_mixture,9,8632,-7212.599824545944,15,14455.199649091888,14561.148121695958,True
exchangeable_block_mixture,10,6044,-6121.8687562028645,15,12273.737512405729,12374.339832256619,True
exchangeable_block_mixture,11,6474,-5293.406119950288,15,10616.812239900575,10718.445481417868,False
exchangeable_block_mixture,12,6474,-6055.152812975899,15,12140.305625951798,12241.93886746909,True
original_hmm,1,8562,-3932.074763461128,15,7894.149526922256,7999.9758632228295,True
original_hmm,2,7877,-4530.386690815907,15,9090.773381631814,9195.348917627363,True
original_hmm,3,9412,-4406.83063186166,15,8843.66126372332,8950.907374971028,True
original_hmm,4,4799,-3710.762560901429,15,7451.525121802858,7548.6675644307315,True
original_hmm,5,5789,-7395.50798927475,15,14821.0159785495,14920.971701210685,True
original_hmm,6,7553,-6867.3445713657575,15,13764.689142731515,13868.634644446216,True
original_hmm,7,5797,-3748.0908968763247,15,7526.181793752649,7626.158231072745,True
original_hmm,8,5797,-7107.878243254242,15,14245.756486508484,14345.73292382858,True
original_hmm,9,8632,-7422.517678603038,15,14875.035357206076,14980.983829810146,True
original_hmm,10,6044,-6170.839704458565,15,12371.67940891713,12472.281728768021,False
original_hmm,11,6474,-5327.506019705994,15,10685.012039411988,10786.64528092928,True
original_hmm,12,6474,-6122.6135660425125,15,12275.227132085025,12376.860373602318,True
