model,motion_coherence,prior_std,reference,bin_left_deg,bin_right_deg,bin_center_deg,observed,simulated_mean,simulated_ci_low,simulated_ci_high,n_simulations
HMM_static,0.0599999999999999,10,prior,-180,-165,-172.5,0.0016381048387096,0.0026960271807042,0.001411392326286,0.0039174465503354,100
HMM_static,0.0599999999999999,10,prior,-165,-150,-157.5,0.0006300403225806,0.003101288938357,0.0018606314645434,0.0045340733351631,100
HMM_static,0.0599999999999999,10,prior,-150,-135,-142.5,0.0012600806451612,0.0039944027098343,0.002577967444328,0.0055044738341545,100
HMM_static,0.0599999999999999,10,prior,-135,-120,-127.5,0.0017641129032257,0.0053419654212945,0.0036032478551045,0.0066988591786195,100
HMM_static,0.0599999999999999,10,prior,-120,-105,-112.5,0.0020161290322579,0.0080014636815635,0.0062257379239619,0.0099631249879083,100
HMM_static,0.0599999999999999,10,prior,-105,-90,-97.5,0.0016381048387096,0.011810579115454,0.0098885027481968,0.0140928466136815,100
HMM_static,0.0599999999999999,10,prior,-90,-75,-82.5,0.0027721774193547,0.0183299686648807,0.01534031283246,0.0216085119655324,100
HMM_static,0.0599999999999999,10,prior,-75,-60,-67.5,0.0076864919354838,0.0273727849692608,0.0239149415598929,0.0310110179249441,100
HMM_static,0.0599999999999999,10,prior,-60,-45,-52.5,0.0115927419354838,0.0390399454314198,0.0337817172681509,0.0440712616822429,100
HMM_static,0.0599999999999999,10,prior,-45,-30,-37.5,0.02734375,0.0551067471443689,0.0501159570618096,0.0600784220453967,100
HMM_static,0.0599999999999999,10,prior,-30,-15,-22.5,0.0961441532258063,0.1030580535017704,0.0968056999508589,0.109834107583339,100
HMM_static,0.0599999999999999,10,prior,-15,0,-7.5,0.3390877016129031,0.2232139641446405,0.2091263813994951,0.237726172976127,100
HMM_static,0.0599999999999999,10,prior,0,15,7.5,0.3337953629032258,0.22211076880642,0.2100339358531365,0.2343511919301268,100
HMM_static,0.0599999999999999,10,prior,15,30,22.5,0.1003024193548387,0.1030978502739244,0.0981620506552523,0.1087888943426947,100
HMM_static,0.0599999999999999,10,prior,30,45,37.5,0.0417086693548386,0.0551461056774429,0.0491791137102449,0.0609747269803926,100
HMM_static,0.0599999999999999,10,prior,45,60,52.5,0.0123487903225805,0.0386593901845369,0.0340349228808896,0.0433271028710544,100
HMM_static,0.0599999999999999,10,prior,60,75,67.5,0.0064264112903225,0.0273079512129333,0.0233793171527762,0.0318031764646262,100
HMM_static,0.0599999999999999,10,prior,75,90,82.5,0.005040322580645,0.0179358936178562,0.0145513122042661,0.0211500083718095,100
HMM_static,0.0599999999999999,10,prior,90,105,97.5,0.0023941532258064,0.0117283046003292,0.0092348417821532,0.0141201683199284,100
HMM_static,0.0599999999999999,10,prior,105,120,112.5,0.0008820564516128,0.0079474236759742,0.0061372831852231,0.0101931531989387,100
HMM_static,0.0599999999999999,10,prior,120,135,127.5,0.0010080645161289,0.0053370182857245,0.0039753275841653,0.0070609733578235,100
HMM_static,0.0599999999999999,10,prior,135,150,142.5,0.0008820564516128,0.0039170657242446,0.0028212829373079,0.0050414944050657,100
HMM_static,0.0599999999999999,10,prior,150,165,157.5,0.0008820564516128,0.002970562217792,0.0019784887647698,0.0043999472620198,100
HMM_static,0.0599999999999999,10,prior,165,180,172.5,0.0007560483870967,0.0027744748192701,0.0017990846623857,0.0040111875158955,100
