previous_state,next_state,covariate,coefficient
S_sensory,S_sensory,intercept,2.1945864807763478
S_sensory,S_sensory,coherence,0.8893709334630374
S_sensory,S_sensory,prior_precision,0.561980114054222
S_sensory,S_sensory,conflict,0.04773632590401155
S_sensory,S_sensory,prev_error,0.15285579019052203
S_sensory,S_sensory,prev_conflict,0.04739576377281872
S_sensory,S_sensory,prev_coherence,-0.23491153022289257
S_sensory,P_prior,intercept,-0.7988802842319892
S_sensory,P_prior,coherence,-0.3863987637694538
S_sensory,P_prior,prior_precision,0.37189152872904674
S_sensory,P_prior,conflict,-0.15150859785027154
S_sensory,P_prior,prev_error,-0.4479679898793607
S_sensory,P_prior,prev_conflict,-0.18199264004625018
S_sensory,P_prior,prev_coherence,0.10398380538146562
S_sensory,L_lapse,intercept,-1.3957061965443582
S_sensory,L_lapse,coherence,-0.5029721696935835
S_sensory,L_lapse,prior_precision,-0.9338716427832687
S_sensory,L_lapse,conflict,0.10377227194625999
S_sensory,L_lapse,prev_error,0.2951121996888386
S_sensory,L_lapse,prev_conflict,0.13459687627343145
S_sensory,L_lapse,prev_coherence,0.13092772484142695
P_prior,S_sensory,intercept,0.14103964305383565
P_prior,S_sensory,coherence,0.5479860647057037
P_prior,S_sensory,prior_precision,-0.19348658168613303
P_prior,S_sensory,conflict,0.10915964737615769
P_prior,S_sensory,prev_error,-0.02024193459173551
P_prior,S_sensory,prev_conflict,0.03975066529054719
P_prior,S_sensory,prev_coherence,-0.4318872683160833
P_prior,P_prior,intercept,2.2937576601628513
P_prior,P_prior,coherence,-0.508380473366371
P_prior,P_prior,prior_precision,0.5129881722544276
P_prior,P_prior,conflict,-0.7146182790948082
P_prior,P_prior,prev_error,-0.3549299048216197
P_prior,P_prior,prev_conflict,-0.05900276128036194
P_prior,P_prior,prev_coherence,0.3629317297816896
P_prior,L_lapse,intercept,-2.4347973032166865
P_prior,L_lapse,coherence,-0.03960559133933261
P_prior,L_lapse,prior_precision,-0.3195015905682946
P_prior,L_lapse,conflict,0.6054586317186507
P_prior,L_lapse,prev_error,0.3751718394133552
P_prior,L_lapse,prev_conflict,0.019252095989814765
P_prior,L_lapse,prev_coherence,0.06895553853439378
L_lapse,S_sensory,intercept,-0.022532002942581286
L_lapse,S_sensory,coherence,0.7261318816933177
L_lapse,S_sensory,prior_precision,-0.7360550613095148
L_lapse,S_sensory,conflict,-0.045729283456284985
L_lapse,S_sensory,prev_error,0.10830007114997575
L_lapse,S_sensory,prev_conflict,-0.08640553805015425
L_lapse,S_sensory,prev_coherence,-0.31338791859046056
L_lapse,P_prior,intercept,-1.9944051463156725
L_lapse,P_prior,coherence,-0.5341394076546736
L_lapse,P_prior,prior_precision,0.10688945642000114
L_lapse,P_prior,conflict,0.031763422679787136
L_lapse,P_prior,prev_error,0.18937632143683292
L_lapse,P_prior,prev_conflict,0.05709939625321922
L_lapse,P_prior,prev_coherence,0.12044212582674887
L_lapse,L_lapse,intercept,2.0169371492582537
L_lapse,L_lapse,coherence,-0.19199247403864397
L_lapse,L_lapse,prior_precision,0.6291656048895137
L_lapse,L_lapse,conflict,0.013965860776497844
L_lapse,L_lapse,prev_error,-0.2976763925868087
L_lapse,L_lapse,prev_conflict,0.029306141796935015
L_lapse,L_lapse,prev_coherence,0.19294579276371163
