parameter,mean,sd_between_subjects,se
n_sequences,32.333333333333336,6.6378163623744575,1.9161725318240979
n_trials,6934.166666666667,1433.8939249047637,413.9295217665672
train_ll,-5547.2967990819025,1468.4078989741827,423.89284787645863
ll_per_trial,-0.8300885896893416,0.26843947655034295,0.07749180202373138
n_iter,100.75,77.87533744272433,22.480673517894918
A_SS,0.8673606515495985,0.11066139840315757,0.031945194078481724
A_SP,0.06497550727038469,0.09901911748405977,0.028584357067170545
A_SL,0.06766384118001666,0.06544511610884363,0.01889237770129359
A_PS,0.1568754071273908,0.2766645031098763,0.07986616267285057
A_PP,0.8393490436861528,0.2757059678959781,0.07958945739096465
A_PL,0.0037755491864565316,0.007693415331164881,0.0022208977062178194
A_LS,0.6698862075603872,0.27206334361178997,0.0785379223354483
A_LP,0.022018038262525658,0.03973211269037503,0.011469672978630285
A_LL,0.3080957541770872,0.26487180537235305,0.0764619040662351
stationary_S,0.5586269128228086,0.1621312069771362,0.046803247996144264
stationary_P,0.3878805851580018,0.14653646397337597,0.04230143346056226
stationary_L,0.053492502019189564,0.03927019865461215,0.011336329882185203
persistence_excess_S,0.30873373872678994,0.12632607809347718,0.03646719759646937
persistence_excess_P,0.45146845852815093,0.18623555462925284,0.05376157379893919
kappaS_0.06,1.8786218362023608,1.2222253571806654,0.3528260694893218
kappaS_0.12,5.060552630910672,2.8660157646913396,0.8273474866231281
kappaS_0.24,14.620758047218013,7.0109324653524085,2.02388187307075
kappaP_10,41.594586174232695,45.836898343480385,13.231972798712956
kappaP_20,15.545292509908213,12.661360340684185,3.655019900500433
kappaP_40,8.900731581820668,5.0606069753313045,1.4608713997352134
kappaP_80,7.866933114277521,10.434717328988313,3.0122434294045277
