fold,model,seq_id,subject_id,session_id,run_id,prior_std,n_test,test_ll,test_ll_per_trial
1,HMM_static,0,1.0,1.0,1.0,10.0,213,63.08677315769131,0.29618203360418455
1,HMM_static,1,1.0,1.0,2.0,80.0,215,-203.0609290143855,-0.9444694372762116
1,HMM_static,3,1.0,1.0,4.0,40.0,207,-132.44637791002697,-0.6398375744445747
1,HMM_static,9,1.0,2.0,10.0,80.0,215,-182.48669080565384,-0.8487753060728085
1,HMM_static,11,1.0,3.0,12.0,10.0,213,45.28924920393277,0.21262558311705526
1,HMM_static,19,1.0,4.0,20.0,80.0,215,-189.8686996020075,-0.8831102307070116
1,HMM_static,20,1.0,5.0,21.0,20.0,215,-69.71803041290369,-0.32426990889722646
1,HMM_static,25,1.0,6.0,26.0,40.0,202,-150.67101094304746,-0.7458960937774627
1,HMM_static,32,1.0,7.0,33.0,80.0,226,-215.02266891716204,-0.9514277385715134
1,HMM_static,37,1.0,8.0,38.0,20.0,204,-66.35718592935147,-0.32528032318309547
1,HMM_static,40,2.0,1.0,1.0,10.0,213,-5.649067139317523,-0.02652144196862687
1,HMM_static,43,2.0,1.0,4.0,40.0,207,-138.59518271885858,-0.6695419455017323
1,HMM_static,44,2.0,1.0,5.0,80.0,215,-259.32901366812814,-1.2061814589215263
1,HMM_static,49,2.0,2.0,10.0,80.0,215,-310.3777660012546,-1.4436175162849052
1,HMM_static,61,2.0,5.0,22.0,20.0,215,-3.029916152871632,-0.01409263326917038
1,HMM_static,64,2.0,5.0,25.0,80.0,215,-250.17835382753992,-1.1636202503606508
1,HMM_static,70,2.0,7.0,31.0,20.0,215,-3.774908529602559,-0.017557714091174695
1,HMM_static,71,2.0,7.0,32.0,80.0,215,-241.90531229702998,-1.1251409874280465
1,HMM_static,72,2.0,7.0,33.0,40.0,207,-162.16102333329962,-0.7833865861512059
1,HMM_static,73,2.0,8.0,31.0,10.0,213,31.80931729393025,0.1493395178118791
1,HMM_static,80,3.0,1.0,4.0,20.0,215,-64.41392167781169,-0.29959963571075204
1,HMM_static,81,3.0,1.0,5.0,80.0,215,-198.6633919999545,-0.9240157767439745
1,HMM_static,82,3.0,2.0,6.0,10.0,213,37.19838813059505,0.17464031986194858
1,HMM_static,86,3.0,2.0,10.0,80.0,215,-163.24410658497806,-0.7592749143487352
1,HMM_static,87,3.0,3.0,11.0,40.0,207,-120.38970183187371,-0.5815927624728199
1,HMM_static,91,3.0,3.0,15.0,20.0,215,-22.453913062462668,-0.10443680494168683
1,HMM_static,99,3.0,5.0,23.0,20.0,215,-61.81941432317149,-0.2875321596426581
1,HMM_static,100,3.0,5.0,24.0,40.0,207,-147.9253883901502,-0.7146154028509671
1,HMM_static,102,3.0,6.0,26.0,10.0,213,45.16006033193229,0.21201906259123143
1,HMM_static,118,3.0,9.0,42.0,80.0,226,-186.69165349380472,-0.8260692632469235
1,HMM_static,119,3.0,9.0,43.0,80.0,202,-151.31698304941165,-0.7490939754921369
1,HMM_static,132,4.0,3.0,12.0,80.0,215,-234.99238121729337,-1.092987819615318
1,HMM_static,133,4.0,3.0,13.0,10.0,213,-3.9630537539033526,-0.01860588616856034
1,HMM_static,137,4.0,4.0,17.0,40.0,207,-171.08872213680655,-0.8265155658782926
1,HMM_static,139,4.0,5.0,19.0,20.0,215,-80.2533252711705,-0.3732712803310256
1,HMM_static,143,4.0,5.0,23.0,80.0,187,-205.46207096816028,-1.0987276522361513
1,HMM_static,144,5.0,1.0,1.0,80.0,215,-281.22302797268554,-1.3080140835938863
1,HMM_static,148,5.0,2.0,5.0,20.0,215,-218.19674583939968,-1.0148685852995334
1,HMM_static,151,5.0,2.0,8.0,80.0,215,-249.29132819503556,-1.1594945497443514
1,HMM_static,159,5.0,4.0,16.0,40.0,202,-300.62054133340234,-1.4882205016505066
1,HMM_static,160,5.0,4.0,17.0,80.0,226,-270.7092919785036,-1.1978287255686
1,HMM_static,165,5.0,5.0,22.0,10.0,221,-344.6749077785165,-1.5596149673236042
1,HMM_static,168,5.0,6.0,25.0,40.0,202,-308.64398163344674,-1.527940503135875
1,HMM_static,174,6.0,1.0,4.0,40.0,202,-299.8034019082852,-1.4841752569717088
1,HMM_static,180,6.0,2.0,10.0,80.0,226,-321.13046227919114,-1.4209312490229695
1,HMM_static,182,6.0,3.0,12.0,10.0,221,-96.00930451219371,-0.4344312421366231
1,HMM_static,184,6.0,3.0,14.0,40.0,202,-175.81214736649184,-0.8703571651806526
1,HMM_static,185,6.0,3.0,15.0,80.0,226,-252.5353313976841,-1.1174129707862128
1,HMM_static,187,6.0,4.0,17.0,20.0,204,-103.27221346906576,-0.5062363405346361
1,HMM_static,191,6.0,5.0,21.0,80.0,226,-264.2998021411618,-1.1694681510670877
1,HMM_static,196,6.0,6.0,26.0,10.0,221,-81.3269145783216,-0.36799508858969054
1,HMM_static,202,6.0,7.0,32.0,20.0,204,-113.61174490044336,-0.5569203181394282
1,HMM_static,207,7.0,1.0,2.0,40.0,207,-167.80934291445817,-0.8106731541761264
1,HMM_static,210,7.0,2.0,5.0,80.0,215,-222.43512702955033,-1.034581986183955
1,HMM_static,217,7.0,3.0,12.0,20.0,215,-83.07025209136236,-0.3863732655412203
1,HMM_static,219,7.0,4.0,14.0,80.0,226,-244.72095088776223,-1.0828360658750542
1,HMM_static,230,7.0,6.0,25.0,40.0,202,-172.36632868720133,-0.8532986568673333
1,HMM_static,231,7.0,6.0,26.0,10.0,221,-16.495824689331002,-0.07464174067570589
1,HMM_static,232,7.0,6.0,27.0,80.0,226,-239.1794200201985,-1.058316017788489
1,HMM_static,241,8.0,3.0,9.0,40.0,207,-201.86705053683463,-0.9752031426900224
1,HMM_static,244,8.0,3.0,12.0,80.0,215,-266.39390738285465,-1.2390414296876961
1,HMM_static,245,8.0,4.0,13.0,80.0,226,-409.05947952321753,-1.8099976970053873
1,HMM_static,253,8.0,5.0,21.0,20.0,204,-264.7588513772605,-1.2978375067512768
1,HMM_static,258,8.0,6.0,26.0,80.0,226,-334.81744632688475,-1.481493125340198
1,HMM_static,259,8.0,6.0,27.0,10.0,221,-188.14177327508622,-0.8513202410637386
1,HMM_static,261,9.0,1.0,2.0,20.0,204,-92.1030411860908,-0.45148549601024907
1,HMM_static,262,9.0,1.0,3.0,80.0,226,-231.71871736722917,-1.0253040591470317
1,HMM_static,270,9.0,3.0,11.0,10.0,221,-110.00316387395215,-0.4977518727328151
1,HMM_static,271,9.0,3.0,12.0,80.0,226,-268.16589428421895,-1.1865747534699953
1,HMM_static,273,9.0,3.0,14.0,40.0,202,-223.1507950926602,-1.1047069063993078
1,HMM_static,283,9.0,5.0,24.0,80.0,226,-266.9739346027056,-1.181300595587193
1,HMM_static,287,9.0,6.0,28.0,20.0,204,-87.73599728254773,-0.43007841805170455
1,HMM_static,292,9.0,7.0,33.0,80.0,226,-273.42345342776554,-1.2098382895033872
1,HMM_static,294,9.0,7.0,35.0,40.0,202,-204.75103429400568,-1.0136189816534935
1,HMM_static,296,9.0,8.0,37.0,10.0,221,-102.65606419387358,-0.4645070778003329
1,HMM_static,300,10.0,1.0,1.0,80.0,226,-431.10085450593965,-1.9075259048935382
1,HMM_static,303,10.0,1.0,4.0,20.0,204,-205.66882252116284,-1.0081805025547197
1,HMM_static,305,10.0,2.0,6.0,40.0,202,-302.6638303895263,-1.498335794007556
1,HMM_static,316,10.0,4.0,18.0,80.0,226,-358.4570537813546,-1.5860931583245779
1,HMM_static,323,10.0,6.0,25.0,10.0,221,24.743024041853324,0.11195938480476618
1,HMM_static,325,10.0,6.0,27.0,80.0,226,-323.76086193602305,-1.432570185557624
