model,motion_coherence,prior_std,condition,observed_total_n,observed_retained_n,observed_retained_rate,simulated_retained_n_mean,simulated_retained_rate_mean,simulated_retained_rate_ci_low,simulated_retained_rate_ci_high,n_simulations
HMM_static,0.059999999999999901,10,0.06/10,8132,7936,0.97589768814559763,7763.6999999999998,0.95470978848991661,0.94723930152484004,0.96336694540088541,100
HMM_static,0.059999999999999901,20,0.06/20,8171,7956,0.97368743115897682,7801.96,0.95483539346469204,0.94724023987272044,0.9619508016154692,100
HMM_static,0.059999999999999901,40,0.06/40,7784,7437,0.95542137718396725,7435.71,0.95525565262076062,0.94634827852004122,0.96287255909558056,100
HMM_static,0.059999999999999901,80,0.06/80,16663,15440,0.92660385284762636,15931.49,0.95609974194322755,0.94964292144271745,0.96189761747584457,100
HMM_static,0.12,10,0.12/10,5596,5425,0.96944245889921365,5288.3699999999999,0.94502680486061463,0.93573534667619718,0.95570050035739795,100
HMM_static,0.12,20,0.12/20,5925,5727,0.96658227848101264,5599.1899999999996,0.94501097046413496,0.93788185654008438,0.95350632911392397,100
HMM_static,0.12,40,0.12/40,5803,5484,0.94502843356884358,5486.6099999999997,0.94547820093055324,0.93770032741685316,0.95365328278476635,100
HMM_static,0.12,80,0.12/80,11589,10573,0.91233065838294924,10963.67,0.94604107343170241,0.93890327034256615,0.9526986797825524,100
HMM_static,0.23999999999999991,10,0.24/10,2844,2777,0.97644163150492258,2674.5999999999999,0.94043600562587915,0.93089838255977475,0.95256680731364285,100
HMM_static,0.23999999999999991,20,0.24/20,2372,2328,0.981450252951096,2228.7399999999998,0.93960370994940978,0.92917369308600317,0.94963111298482283,100
HMM_static,0.23999999999999991,40,0.24/40,2324,2254,0.96987951807228923,2186.8000000000002,0.94096385542168637,0.93029259896729755,0.9531411359724612,100
HMM_static,0.23999999999999991,80,0.24/80,6007,5704,0.94955884801065416,5654.21,0.94127018478441804,0.93287830863992005,0.95094889295821516,100
Covariate_HMM,0.059999999999999901,10,0.06/10,8132,7731,0.95068863748155441,7873.2700000000004,0.96818371864240038,0.95024286768322686,0.98124999999999996,100
Covariate_HMM,0.059999999999999901,20,0.06/20,8171,7717,0.94443764533104879,7676.5600000000004,0.93948843470811405,0.92961081874923523,0.94897809325663918,100
Covariate_HMM,0.059999999999999901,40,0.06/40,7784,6796,0.8730729701952723,6739.46,0.86580935251798552,0.85622430626927015,0.87815069373072974,100
Covariate_HMM,0.059999999999999901,80,0.06/80,16663,12366,0.74212326711876597,12634.360000000001,0.758228410250255,0.75008701914421172,0.76703174698433652,100
Covariate_HMM,0.12,10,0.12/10,5596,5312,0.94924946390278764,5423.9200000000001,0.96924946390278754,0.95108559685489635,0.98454699785561095,100
Covariate_HMM,0.12,20,0.12/20,5925,5636,0.95122362869198296,5654.79,0.95439493670886077,0.94570886075949356,0.96264556962025316,100
Covariate_HMM,0.12,40,0.12/40,5803,5406,0.93158711011545736,5354.75,0.92275547130794444,0.91435464414957757,0.930298983284508,100
Covariate_HMM,0.12,80,0.12/80,11589,10204,0.88049011994132365,10133.040000000001,0.87436707222366017,0.86506385365432725,0.88363102942445415,100
Covariate_HMM,0.23999999999999991,10,0.24/10,2844,2698,0.94866385372714479,2764.6799999999998,0.97210970464135005,0.95690049226441642,0.98436181434599157,100
Covariate_HMM,0.23999999999999991,20,0.24/20,2372,2318,0.97723440134907236,2314.9899999999998,0.9759654300168632,0.96773819561551444,0.98293634064080937,100
Covariate_HMM,0.23999999999999991,40,0.24/40,2324,2275,0.97891566265060237,2262.4299999999998,0.97350688468158364,0.96621127366609283,0.98002366609294322,100
Covariate_HMM,0.23999999999999991,80,0.24/80,6007,5787,0.96337606126186115,5797.1099999999997,0.96505909771932763,0.96037955718328605,0.96987681038788076,100
